person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
ballande-a,Ballande,A. Ballande; André Ballande,8,8,17,administrateur,1909,1951,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
milliard-h,Milliard,H. Milliard; Henry Milliard,8,8,13,administrateur,1922,1964,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
loste-h,Loste,H. Loste; H. Loste. 5; Henri Loste; Henry Loste,7,7,16,administrateur,1922,1953,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
chavane-l,Chavane,L. Chavane; Louis Chavane,7,7,11,administrateur,1909,1935,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
laroque-g,Laroque,G. Laroque; Gabriel Laroque,6,6,14,administrateur,1922,1937,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
rougy-a,Rougy,A. Rougy; Abel Rougy,6,6,14,administrateur,1922,1937,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
berge-m,Berge,Maurice Berge,6,6,12,administrateur,1922,1951,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
van-bree-f,Van Bree,F. Van Brée; Firmin Van Bree,6,6,11,administrateur,1922,1964,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
guiraud-p,Guiraud,P. Guiraud; Paul Guiraud,5,5,11,administrateur,1922,1937,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
jeannin-p,Jeannin,P. Jeannin; Pierre Jeannin,5,5,9,administrateur,1922,1951,Autres sociétés; Documentation générale (par ordre chronologique)
dewez-h,Dewez,H. Dewez; Henry Dewez,4,4,12,administrateur,1931,1964,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
berge,Berge,Berge,4,4,8,administrateur,1926,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
baudouin-p,Baudouin,P. Baudouin; Paul Baudouin,4,4,7,president,1933,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
catalan-l,Catalan,Catalan; L. Catalan; Louis Catalan,4,4,5,administrateur,1932,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
chalas-e,Chalas,E. Chalas; Emile Chalas; Émile Chalas,3,3,9,administrateur,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique)
dehesdin-a,Dehesdin,A. Dehesdin,3,3,6,administrateur_delegue,1919,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
bonneaud-a,Bonneaud,Albert Bonneaud,3,3,6,administrateur,1922,1937,Autres sociétés; Documentation générale (par ordre chronologique)
francais-des-nouvelles-hebrides-c,français des Nouvelles-Hébrides,Comptoirs Français des Nouvelles-Hébrides; Comptoirs français des Nouvelles Hébrides; Comptoirs français des Nouvelles- Hébrides; Comptoirs français des Nouvelles-Hébrides,3,3,6,administrateur,1926,1951,Documentation générale (par ordre chronologique)
ballande-p,Ballande,Pierre Ballande,3,3,5,administrateur,1922,1937,Autres sociétés; Documentation générale (par ordre chronologique)
bonneaud-h,Bonneaud,Henri Bonneaud; Henry Bonneaud,3,3,4,administrateur,1937,1951,Documentation générale (par ordre chronologique)
higginson-g,Higginson,G. Higginson; Gustave Higginson,3,3,3,administrateur,1922,1926,Documentation générale (par ordre chronologique)
milliard,Milliard,Milliard,3,3,3,administrateur,1926,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
allegre-l,Allègre,L. Allègre,2,2,9,administrateur,1932,1953,Documentation générale (par ordre chronologique); Mines et métallurgie
roume-e,Roume,E. Roume; Ernest Roume,2,2,8,administrateur,1922,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
viallate-a,Viallate,A. Viallate; Achille Viallate,2,2,8,administrateur,1922,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
augis-a,Augis,André Augis,2,2,7,administrateur_delegue,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique)
barrau-e,Barrau,Ernest Barrau; Ernest Barrau); Ernest Barrau.),2,2,5,administrateur,1926,1951,Documentation générale (par ordre chronologique)
tandonnet-p,Tandonnet,P. Tandonnet,2,2,4,administrateur,1922,1933,Autres sociétés; Documentation générale (par ordre chronologique)
verny-a,Verny,Auguste Xavier Verny,2,2,4,administrateur,1919,1926,Autres sociétés; Documentation générale (par ordre chronologique)
leigh-williams-h,Leigh Williams,Herber Leigh Williams,2,2,4,administrateur,1919,1926,Autres sociétés; Documentation générale (par ordre chronologique)
daly-j,Daly,James Daly; James-Louis Daly,2,2,4,vice_president,1926,1951,Documentation générale (par ordre chronologique)
lemarinier-g,Lemarinier,G. Lemarinier; Georges Lemarinier; Lemarinier,2,2,4,administrateur,1924,1926,Autres sociétés; Documentation générale (par ordre chronologique)
mirabaud-p,Mirabaud,P. Mirabaud,2,2,4,administrateur,1926,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
chavane,Chavane,Chavane,2,2,3,administrateur,1913,1922,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
jauffret,Jauffret,JAUFFRET; Jauffret,2,2,3,president,1914,1922,Documentation générale (par ordre chronologique); Mines et métallurgie
martini-g,Martini,G. Martini,2,2,3,administrateur,1919,1926,Documentation générale (par ordre chronologique); Mines et métallurgie
bouillier-v,Bouillier,V. Bouillier; Victor Bouillier,2,2,3,administrateur,1926,1933,Autres sociétés; Documentation générale (par ordre chronologique)
guerault-c,Guérault,Ch. Guérault; Charles Guérault,2,2,3,president,1924,1926,Autres sociétés; Documentation générale (par ordre chronologique)
tassart-l,Tassart,Louis Tassart,2,2,3,vice_president,1924,1926,Autres sociétés; Documentation générale (par ordre chronologique)
blache-p,Blaché,P. Blaché; Pierre Blaché,2,2,3,administrateur,1924,1926,Autres sociétés; Documentation générale (par ordre chronologique)
